glue_weight,item_id,x1_dist,x2_dist,y1_dist,y2_dist,station_id,time
7.98105,7194,2.0784531,1.980355,2.0412359,1.972785,0,3599
7.831902,14395,2.0529625,2.0404942,2.0214028,2.0035865,-1,3599
8.2967052,14398,1.9880168,1.9849126,2.0182135,1.9793812,-1,3600
8.0636921,7191,1.9401188,1.9913006,1.9200165,1.9675298,2,3600
7.98105,7194,2.0784531,1.980355,2.0412359,1.972785,1,3600
8.0895262,7195,2.0777757,2.0216579,1.9582704,2.003371,0,3600
7.9167857,14399,1.9730214,2.0436509,2.0064266,2.0116169,-1,3600
8.2137699,14402,2.0412054,1.9935086,1.9034933,1.9388851,-1,3601
7.98105,7194,2.0784531,1.980355,2.0412359,1.972785,2,3601
8.0895262,7195,2.0777757,2.0216579,1.9582704,2.003371,1,3601
8.0456991,7198,1.9706742,1.928104,1.9212756,1.9701859,0,3601
8.224678,14403,1.9630623,1.9132962,1.9256393,1.9436086,-1,3601
8.2323875,14406,1.9679701,2.0161946,2.0481043,2.0332427,-1,3602
8.0895262,7195,2.0777757,2.0216579,1.9582704,2.003371,2,3602
8.0456991,7198,1.9706742,1.928104,1.9212756,1.9701859,1,3602
8.1412859,7199,2.0527897,1.9620878,2.007318,2.0387015,0,3602
7.8584805,14407,1.9329417,1.9388762,2.05462,2.0715427,-1,3602
8.1029444,14410,1.9650321,2.0694578,2.009248,1.9066762,-1,3603
8.0456991,7198,1.9706742,1.928104,1.9212756,1.9701859,2,3603
8.1412859,7199,2.0527897,1.9620878,2.007318,2.0387015,1,3603
8.1805086,7202,1.9620643,2.0350199,1.9154533,1.9665991,0,3603
7.8388686,14411,2.0747659,1.9296373,2.0086744,1.9802437,-1,3603
7.9686241,14414,2.0763071,2.0069885,2.0143332,2.0787621,-1,3604
8.1412859,7199,2.0527897,1.9620878,2.007318,2.0387015,2,3604
8.1805086,7202,1.9620643,2.0350199,1.9154533,1.9665991,1,3604
7.9035349,7203,1.9543729,2.0491865,2.0717084,2.0957005,0,3604
8.0509853,14415,1.9736592,2.0452023,1.9930913,1.9019165,-1,3604
8.0890827,14418,2.085942,1.9770426,1.9700968,2.0501528,-1,3605
8.1805086,7202,1.9620643,2.0350199,1.9154533,1.9665991,2,3605
7.9035349,7203,1.9543729,2.0491865,2.0717084,2.0957005,1,3605
8.1114407,7206,2.092109,1.900135,1.9653752,2.0386286,0,3605
8.016778,14419,2.0641191,2.0136573,1.9032656,1.9686419,-1,3605
7.7045679,14422,2.0331094,2.0289321,1.9216484,1.9841568,-1,3606
7.9035349,7203,1.9543729,2.0491865,2.0717084,2.0957005,2,3606
8.1114407,7206,2.092109,1.900135,1.9653752,2.0386286,1,3606
8.1489706,7207,1.9706969,1.9345211,2.0239518,1.9240012,0,3606
7.9007249,14423,2.0465558,1.9062303,2.0503552,2.0968609,-1,3606
8.1836472,14426,1.9302708,2.0427184,2.07181,2.083025,-1,3607
8.1114407,7206,2.092109,1.900135,1.9653752,2.0386286,2,3607
8.1489706,7207,1.9706969,1.9345211,2.0239518,1.9240012,1,3607
7.986433,7210,1.9369384,1.990461,1.9518026,1.9267403,0,3607
7.9740357,14427,1.9301996,2.0012972,2.0099368,1.9017953,-1,3607
7.7064652,14430,1.9332356,2.020822,2.0744238,1.9975919,-1,3608
8.1489706,7207,1.9706969,1.9345211,2.0239518,1.9240012,2,3608
7.986433,7210,1.9369384,1.990461,1.9518026,1.9267403,1,3608
7.9224353,7211,1.9005356,2.0791132,1.9343902,2.0492039,0,3608
8.0801039,14431,2.0916986,1.976904,2.0811925,1.9041144,-1,3608
7.7831273,14434,2.093703,1.947651,2.0882945,2.0067105,-1,3609
7.986433,7210,1.9369384,1.990461,1.9518026,1.9267403,2,3609
7.9224353,7211,1.9005356,2.0791132,1.9343902,2.0492039,1,3609
8.0188675,7214,2.0785692,2.0834253,2.0500634,2.0547423,0,3609
8.1878748,14435,1.9539188,1.9198178,2.0218208,1.9275614,-1,3609
7.8251338,14438,2.0210211,2.0170579,2.0698135,2.0394018,-1,3610
7.9224353,7211,1.9005356,2.0791132,1.9343902,2.0492039,2,3610
8.0188675,7214,2.0785692,2.0834253,2.0500634,2.0547423,1,3610
8.2356119,7215,2.0485723,2.0377126,1.9938585,2.0984852,0,3610
8.1580038,14439,1.9395223,1.9412481,1.9102174,1.9411714,-1,3610
8.1270342,14442,2.0555563,1.9308058,2.0136354,1.9537582,-1,3611
8.0188675,7214,2.0785692,2.0834253,2.0500634,2.0547423,2,3611
8.2356119,7215,2.0485723,2.0377126,1.9938585,2.0984852,1,3611
7.9860506,7218,1.9051102,2.0339487,1.9058715,1.9915382,0,3611
